id,name,zip_id:id
129,BARRIO COLÓN,l10n_co_base_location.CO050016_zip
130,BOMBONÁ NO.1,l10n_co_base_location.CO050016_zip
131,BUENOS AIRES,l10n_co_base_location.CO050016_zip
132,EL SALVADOR,l10n_co_base_location.CO050016_zip
133,GERONA,l10n_co_base_location.CO050016_zip
134,LAS PALMAS,l10n_co_base_location.CO050016_zip
135,SAN DIEGO,l10n_co_base_location.CO050016_zip
136,SANTA ELENA,l10n_co_base_location.CO050017_zip
137,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO050018_zip
138,BOMBONÁ NO.2,l10n_co_base_location.CO050020_zip
139,CATALUÑA,l10n_co_base_location.CO050020_zip
140,LA MILAGROSA,l10n_co_base_location.CO050020_zip
141,LORETO,l10n_co_base_location.CO050020_zip
142,LOS CERROS EL VERGEL,l10n_co_base_location.CO050020_zip
143,MIRAFLORES,l10n_co_base_location.CO050020_zip
144,ALTOS DEL POBLADO,l10n_co_base_location.CO050021_zip
145,ASOMADERA NO.2,l10n_co_base_location.CO050021_zip
146,ASOMADERA NO.3,l10n_co_base_location.CO050021_zip
147,BARRIO COLOMBIA,l10n_co_base_location.CO050021_zip
148,CASTROPOL,l10n_co_base_location.CO050021_zip
149,EL POBLADO,l10n_co_base_location.CO050021_zip
150,EL TESORO,l10n_co_base_location.CO050021_zip
151,LA FLORIDA,l10n_co_base_location.CO050021_zip
152,LALINDE,l10n_co_base_location.CO050021_zip
153,LAS LOMAS NO.1,l10n_co_base_location.CO050021_zip
154,LAS LOMAS NO.2,l10n_co_base_location.CO050021_zip
155,MANILA,l10n_co_base_location.CO050021_zip
156,VILLA CARLOTA,l10n_co_base_location.CO050021_zip
157,ALEJANDRÍA,l10n_co_base_location.CO050022_zip
158,ASTORGA,l10n_co_base_location.CO050022_zip
159,EL CASTILLO,l10n_co_base_location.CO050022_zip
160,EL DIAMANTE NO.2,l10n_co_base_location.CO050022_zip
161,LA AGUACATALA,l10n_co_base_location.CO050022_zip
162,LOS BALSOS NO.1,l10n_co_base_location.CO050022_zip
163,LOS BALSOS NO.2,l10n_co_base_location.CO050022_zip
164,LOS NARANJOS,l10n_co_base_location.CO050022_zip
165,PATIO BONITO,l10n_co_base_location.CO050022_zip
166,SAN LUCAS,l10n_co_base_location.CO050022_zip
167,SANTA MARÍA DE LOS ÁNGELES,l10n_co_base_location.CO050022_zip
168,EL RINCÓN,l10n_co_base_location.CO050023_zip
169,EL RODEO,l10n_co_base_location.CO050023_zip
170,GUAYABAL,l10n_co_base_location.CO050023_zip
171,LA COLINA,l10n_co_base_location.CO050023_zip
172,LA HONDONADA,l10n_co_base_location.CO050023_zip
173,LA MOTA,l10n_co_base_location.CO050023_zip
174,CAMPO AMOR,l10n_co_base_location.CO050024_zip
175,CRISTO REY,l10n_co_base_location.CO050024_zip
176,PARQUE JUAN PABLO II,l10n_co_base_location.CO050024_zip
177,SANTA FÉ,l10n_co_base_location.CO050024_zip
178,TENCHE,l10n_co_base_location.CO050024_zip
179,TRINIDAD,l10n_co_base_location.CO050024_zip
180,DIEGO ECHAVARRÍA,l10n_co_base_location.CO050025_zip
181,GRANADA,l10n_co_base_location.CO050025_zip
182,LAS PLAYAS,l10n_co_base_location.CO050025_zip
183,SAN BERNARDO,l10n_co_base_location.CO050025_zip
184,ALTAVISTA,l10n_co_base_location.CO050026_zip
185,AREA DE EXPANSIÓN ALTAVISTA,l10n_co_base_location.CO050026_zip
186,LA GLORIA,l10n_co_base_location.CO050026_zip
187,LA LOMA DE LOS BERNAL,l10n_co_base_location.CO050026_zip
188,LA PALMA,l10n_co_base_location.CO050026_zip
189,LAS VIOLETAS,l10n_co_base_location.CO050026_zip
190,LOS ALPES,l10n_co_base_location.CO050026_zip
191,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO050027_zip
192,SIN INFORMACION DE BARRIOS,l10n_co_base_location.CO050028_zip
193,SAN ANTONIO DE PRADO,l10n_co_base_location.CO050029_zip
194,BELÉN,l10n_co_base_location.CO050030_zip
195,CERRO NUTIBARA,l10n_co_base_location.CO050030_zip
196,EL NOGAL,l10n_co_base_location.CO050030_zip
197,LOS ALMENDROS,l10n_co_base_location.CO050030_zip
198,FÁTIMA,l10n_co_base_location.CO050030_zip
199,LOS CONQUISTADORES,l10n_co_base_location.CO050030_zip
200,MIRAVALLE,l10n_co_base_location.CO050030_zip
201,ROSALES,l10n_co_base_location.CO050030_zip
202,BOLIVARIANA,l10n_co_base_location.CO050031_zip
203,EL VELÓDROMO,l10n_co_base_location.CO050031_zip
204,FLORIDA NUEVA,l10n_co_base_location.CO050031_zip
205,LAS ACACIAS,l10n_co_base_location.CO050031_zip
206,LAURELES,l10n_co_base_location.CO050031_zip
207,LORENA,l10n_co_base_location.CO050031_zip
208,LOS PINOS,l10n_co_base_location.CO050031_zip
